viirs_id,latitude,longitude,brightness,resolution_along_scan,resolution_along_track,detection_confidence,fire_power,persistent_anomaly,date
1,11.9630785,107.8016129,348.5927124,0.375,0.375,8,6.01852942,0,2023-01-31
1,11.36654377,103.1720581,343.611145,0.375,0.375,8,6.78046989,0,2023-01-31
1,11.38038826,103.2169876,332.0489807,0.375,0.375,8,4.05508804,0,2023-01-31
1,11.38415241,103.2164536,331.7650757,0.375,0.375,8,3.54711652,0,2023-01-31
1,12.01656628,108.0267868,339.0542297,0.375,0.375,8,3.23201799,0,2023-01-31
1,11.71440029,105.5179062,340.3014221,0.375,0.375,8,2.79689169,0,2023-01-31
1,11.69542885,105.3735657,335.065094,0.375,0.375,8,4.86193371,0,2023-01-31
1,11.71878052,105.5173187,343.3054199,0.375,0.375,8,8.31963921,0,2023-01-31
1,11.47596455,103.7131805,337.2853088,0.375,0.375,8,13.75531006,0,2023-01-31
1,11.37436676,102.9816818,340.6678162,0.375,0.375,8,5.55944157,0,2023-01-31
1,11.87639046,106.6974564,338.4330444,0.375,0.375,8,3.00362277,0,2023-01-31
1,11.47984219,103.712616,345.4407044,0.375,0.375,8,13.75531006,0,2023-01-31
1,12.04792118,108.0229874,349.5705872,0.375,0.375,8,4.22275877,0,2023-01-31
1,11.40910435,103.1753998,333.7742004,0.375,0.375,8,3.52334452,0,2023-01-31
1,11.57306957,104.3035584,337.4891357,0.375,0.375,8,3.60746622,0,2023-01-31
1,11.41984367,103.1973572,330.7580872,0.375,0.375,8,3.13588905,0,2023-01-31
1,12.02685452,107.6449814,333.1700134,0.375,0.375,8,1.76999652,0,2023-01-31
1,11.59502125,104.3736267,332.7478027,0.375,0.375,8,1.95768368,0,2023-01-31
1,11.5841732,104.2947006,344.3027039,0.375,0.375,8,11.86104202,0,2023-01-31
1,11.57690239,103.9304504,330.6076355,0.375,0.375,8,65.01731873,0,2023-01-31
1,12.08220768,107.7380753,333.8033142,0.375,0.375,8,4.53210068,0,2023-01-31
1,12.08183575,107.7350159,350.997345,0.375,0.375,8,2.69351602,0,2023-01-31
1,11.93647575,106.4095612,344.1012878,0.375,0.375,8,5.26501036,0,2023-01-31
1,11.62111092,103.8727264,333.8736877,0.375,0.375,8,3.52674818,0,2023-01-31
1,11.9418354,106.1956635,340.9129028,0.375,0.375,8,4.24815416,0,2023-01-31
1,11.85413456,105.5307694,352.9191284,0.375,0.375,8,8.36879349,0,2023-01-31
1,11.71983242,104.4118652,335.0772095,0.375,0.375,8,3.70288634,0,2023-01-31
1,11.88847065,105.487236,331.6655884,0.375,0.375,8,3.72336841,0,2023-01-31
1,12.04819775,106.8741303,333.0947876,0.375,0.375,8,2.61370468,0,2023-01-31
1,11.88876438,105.487915,332.563385,0.375,0.375,8,3.48371601,0,2023-01-31
1,11.56106377,103.0223541,332.9394836,0.375,0.375,8,3.49868369,0,2023-01-31
1,12.04643154,106.6233826,338.6126099,0.375,0.375,8,5.18565178,0,2023-01-31
1,11.96199131,105.9543762,334.4099426,0.375,0.375,8,1.57139313,0,2023-01-31
1,12.03391743,106.4852905,342.3396606,0.375,0.375,8,48.11706924,0,2023-01-31
1,12.09686565,106.9494934,340.2237854,0.375,0.375,8,3.20432353,0,2023-01-31
